epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1546,0.80421,2.4958,1.06009,0.00333,1,0.80958,0.64716,0.67156,2.97768,0.85942,0.00042,0.00042,0.00042
2,20.045,0.66868,1.35621,0.93923,1,0.48623,0.88139,0.70093,0.63711,2.59446,0.86273,0.000842972,0.000842972,0.000842972
3,26.0588,0.69508,1.21714,0.96813,0.95546,0.87566,0.96302,0.78211,0.72409,1.9146,0.92704,0.00124852,0.00124852,0.00124852
4,31.9728,0.66977,1.11776,0.93583,0.7873,0.83673,0.89988,0.69407,0.74453,1.50276,0.96328,0.00163664,0.00163664,0.00163664
5,37.8229,0.70955,1.04124,0.96816,0.81988,0.80612,0.89433,0.69378,0.65733,1.05216,0.93359,0.0018416,0.0018416,0.0018416
6,43.8171,0.66774,0.957,0.94775,0.97366,0.97959,0.98858,0.80375,0.65876,0.82562,0.90726,0.001802,0.001802,0.001802
7,49.8152,0.65581,0.88609,0.94279,0.92977,0.96939,0.98339,0.77583,0.71108,0.90763,0.92134,0.0017624,0.0017624,0.0017624
8,55.7174,0.64207,0.78328,0.95119,0.97695,0.97959,0.99066,0.83023,0.57458,0.91358,0.86499,0.0017228,0.0017228,0.0017228
9,61.6207,0.62569,0.7379,0.92926,0.96979,0.98261,0.98903,0.78713,0.71207,0.7064,0.89268,0.0016832,0.0016832,0.0016832
10,67.4254,0.62816,0.71518,0.92885,0.9877,0.96939,0.99032,0.83032,0.59367,0.61604,0.87365,0.0016436,0.0016436,0.0016436
11,73.2938,0.60377,0.66168,0.9465,0.97259,1,0.992,0.83579,0.59251,0.57623,0.88526,0.001604,0.001604,0.001604
12,79.141,0.54536,0.61936,0.90892,0.95891,1,0.99113,0.85797,0.50174,0.50669,0.83714,0.0015644,0.0015644,0.0015644
13,84.9019,0.61032,0.61873,0.95321,0.98804,1,0.9948,0.86016,0.58785,0.56489,0.85669,0.0015248,0.0015248,0.0015248
14,90.8089,0.55713,0.56077,0.91374,0.99789,1,0.995,0.85535,0.54024,0.52549,0.8429,0.0014852,0.0014852,0.0014852
15,96.6953,0.55306,0.56092,0.91406,0.97996,0.97959,0.99305,0.85969,0.48697,0.43855,0.84568,0.0014456,0.0014456,0.0014456
16,102.564,0.52916,0.54452,0.89766,1,0.99681,0.995,0.87283,0.46068,0.38805,0.83664,0.001406,0.001406,0.001406
17,108.572,0.54817,0.52594,0.90824,0.98753,1,0.9947,0.87657,0.52342,0.4645,0.8498,0.0013664,0.0013664,0.0013664
18,114.573,0.53012,0.51997,0.9119,0.97948,0.9898,0.99217,0.8627,0.61072,0.44632,0.88352,0.0013268,0.0013268,0.0013268
19,120.335,0.50248,0.48172,0.90028,0.98927,1,0.9948,0.87011,0.55081,0.38885,0.84946,0.0012872,0.0012872,0.0012872
20,126.158,0.49975,0.47399,0.89493,0.9893,1,0.995,0.87134,0.49705,0.40841,0.83594,0.0012476,0.0012476,0.0012476
21,131.962,0.48801,0.47036,0.88517,0.99889,1,0.995,0.87034,0.48497,0.35643,0.82423,0.001208,0.001208,0.001208
22,137.848,0.48055,0.4491,0.88169,0.9936,1,0.995,0.86306,0.48186,0.36437,0.83976,0.0011684,0.0011684,0.0011684
23,143.634,0.48405,0.46111,0.88828,0.99441,1,0.995,0.86051,0.47638,0.35877,0.82933,0.0011288,0.0011288,0.0011288
24,149.433,0.4942,0.44552,0.89169,0.98867,1,0.99116,0.86208,0.47635,0.35787,0.8359,0.0010892,0.0010892,0.0010892
25,155.238,0.47022,0.43147,0.88932,0.98894,1,0.9949,0.88443,0.45103,0.33033,0.82802,0.0010496,0.0010496,0.0010496
26,161.065,0.46786,0.42796,0.89231,0.98888,1,0.99247,0.87961,0.45095,0.31891,0.82589,0.00101,0.00101,0.00101
27,166.975,0.46553,0.41903,0.8852,0.98813,1,0.9948,0.89125,0.41913,0.3391,0.82683,0.0009704,0.0009704,0.0009704
28,172.756,0.45088,0.41248,0.88477,0.9991,1,0.995,0.89828,0.43861,0.31428,0.81511,0.0009308,0.0009308,0.0009308
29,178.544,0.44482,0.38166,0.87947,0.99938,1,0.995,0.89009,0.46713,0.31944,0.81999,0.0008912,0.0008912,0.0008912
30,184.389,0.43132,0.37321,0.88141,0.99804,1,0.995,0.90201,0.43112,0.29149,0.82343,0.0008516,0.0008516,0.0008516
